457140,Early Access,Survival,Base-Building,Resource Management,Building,Singleplayer,2D,Simulation,Management,Strategy,Sandbox,Space,Indie,Sci-fi,Adventure,Open World,Exploration,Space Sim,Difficult
55100,Action,FPS,Multiplayer,Shooter,Singleplayer,First-Person,Atmospheric,War,Military,Short,Co-op,Open World,Adventure,Story Rich
391220,Adventure,Action,Lara Croft,Female Protagonist,Third Person,Exploration,Singleplayer,Action-Adventure,Open World,Survival,Story Rich,Puzzle,Atmospheric,Stealth,Third-Person Shooter,Parkour,Shooter,RPG,Great Soundtrack,Quick-Time Events
552990,Free to Play,Naval,World War II,Multiplayer,PvP,Massively Multiplayer,Action,Online Co-Op,Simulation,Strategy,Shooter,Team-Based,Tactical,War,Realistic,Anime,Military,Singleplayer,Co-op,Arcade
466240,Multiplayer,Free to Play,Horror,Co-op,Survival Horror,FPS,Action,Survival,First-Person,Mystery,Psychological Horror,Strategy,Indie,Shooter,Gore,Zombies,Psychological,Atmospheric,Funny,Nudity
47890,Simulation,Character Customization,Sandbox,Singleplayer,Building,Casual,Funny,Moddable,RPG,Family Friendly,Romance,Comedy,Adventure,Replay Value,Multiplayer,Great Soundtrack,Nudity,Strategy,Action,Female Protagonist
314160,Flight,Simulation,Realistic,Open World,Multiplayer,Singleplayer,Moddable,Adventure,Atmospheric,First-Person,Action,Difficult,Massively Multiplayer,Co-op,Third Person,Strategy,Local Multiplayer,Military,Sandbox,VR
305620,Survival,Open World,Exploration,Atmospheric,First-Person,Singleplayer,Adventure,Sandbox,Crafting,Simulation,Post-apocalyptic,Indie,Walking Simulator,Early Access,Survival Horror,Strategy,Action,Difficult,Horror,Female Protagonist
295270,Sports,Simulation,Soccer,Management,Football,Strategy,Multiplayer,Singleplayer
268910,Difficult,Cartoon,Platformer,Great Soundtrack,Co-op,Hand-drawn,2D,Local Co-Op,Indie,Action,Cartoony,Retro,Bullet Hell,Multiplayer,Shoot 'Em Up,Side Scroller,Colorful,Singleplayer,Funny,Atmospheric
628890,Simulation,Historical,Strategy
109600,Free to Play,MMORPG,RPG,Massively Multiplayer,Adventure,Action,Multiplayer,Fantasy,Open World,Character Customization,Co-op,Dragons,PvP,Dungeons & Dragons,Third Person,Action RPG,PvE,Atmospheric,Hack and Slash,Zombies
612880,Action,FPS,Gore,Violent,Singleplayer,Alternate History,First-Person,Shooter,Story Rich,World War II,Nudity,Atmospheric,Comedy,Sci-fi,Stealth,Adventure,Dystopian ,Great Soundtrack,Open World,Illuminati
738060,Free to Play,Horror,Singleplayer,Robots,Survival Horror,Simulation,Indie,Difficult,First-Person,Strategy,Psychological Horror,Management,Story Rich,Funny,Pixel Graphics,Retro,Atmospheric,Memes,Adventure,Family Friendly
270880,Simulation,Driving,Open World,America,Realistic,Multiplayer,Singleplayer,Relaxing,Moddable,First-Person,Exploration,Atmospheric,Economy,Adventure,Casual,Indie,Family Friendly,Third Person,Management,Action
592580,Sports,Soccer,Football,Multiplayer,Simulation,Singleplayer,Co-op,Great Soundtrack,Atmospheric,Open World
475150,RPG,Hack and Slash,Action RPG,Multiplayer,Mythology,Action,Loot,Classic,Singleplayer,Atmospheric,Adventure,Fantasy,Co-op,Great Soundtrack,Isometric,Open World,Top-Down,Level Editor,Story Rich,Female Protagonist
