385380,Permadeath
57900,Gearbox Software
467000,Astronomic Games
448500,Blake Fix
441550,Coolhand Interactive
274900,JForce Games
423230,The Game Bakers
256290,Ubisoft Montréal
296470,Stegersaurus Software Inc.
236150,Little Green Men Games
343780,Cat5Games
2100,Arkane Studios
213120
8600,SimBin
299460,Fabio Ferrara
70600,Team17 Digital Ltd
417860,Kyle Seeley
224480,Young Horses
216890,Cyanide Studios
39200,Gas Powered Games
216260,Big Ant Studios
425220,"Spike Chunsoft Co., Ltd."
292910,Daedalic Entertainment
581620
220740,Daedalic Entertainment
244730,Iron Galaxy
215100,Gravity Interactive
362680,Killmonday Games AB
328080,Raymond Doerr
370360,Zachtronics
12250
446020,Minskworks
314410,Rake in Grass
9340,Relic Entertainment
237870,Pathea Games
301320,Ole Lange
340050,Bob
448080,"Jackbox Games, Inc."
323220,Nuke Nine
583010,VoiceAttack.com
2620,Infinity Ward
252410,Image & Form Games
231160,"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano"
32360,LucasArts
486780,Halfbrick Studios Pty Ltd
561600,Milestone S.r.l.
314790,Daedalic Entertainment
474050,White Rabbit Games
362490,Bare Mettle Entertainment
368340,Radical Fish Games
107200,MinMax Games Ltd.
394760,"BadFly Interactive, a.s."
254100
312520,Videocult
460810,PlatinumGames,Little Stone Software
593030,Fury Software
555220,RedCandleGames
130,Gearbox Software
19930
512770,Merlin Beer
424030,Campfire Games
504880,DL Softworks
407330,Winged Cloud
21090,"Monolith Productions, Inc.",Timegate
222440,SNK CORPORATION,Code Mystics
225080,Starbreeze Studios AB
591370,Positech Games
570770
639170,Telltale Games
323610
221260,Tomorrow Corporation
12320,Ascaron Entertainment ltd.
527290,"KOEI TECMO GAMES CO., LTD."
657860
407190,BigBlaze Games
319730
272230,Cryptic Sea
385800,NEKO WORKs
202200,Stardock Entertainment
300570,Zachtronics
718650,Star Drifters
378200
39160
227180,Reverie World Studios
224540,Jagex Limited
336510
57640,Revolution Software Ltd
618970,Appeal
429280,Wellore
345390,The Odd Gentlemen
477980,Ilja Saburov
45770,Capcom Vancouver
39000,Virtual Heroes,Army Game Studio
405640,Daniel Mullins Games
665180,ONEONE1
494670,Deck13 Hamburg
416450,Pixel Federation
303720,Beatshapers
265610,Matt Roszak
354850
497180,Invictus Games Ltd.,ImageCode
95400,Sparpweed,Codeglue
2800,Egosoft
735280,Sixteen Tons Entertainment
338170,Lino Slahuschek
314520,Dovetail Games
368590,K Bros Games
356570,Pinokl Games,Kverta
2760,Obsidian Entertainment
357190,"CAPCOM CO., LTD."
239250,MercurySteam
323910,Valve
455130
501690
581630,Diatomic Games
559500
365300,Shokunin,Thomas M. Visser,Vincent Thiele
475190,Introversion Software
482770,Sports Interactive
418250,SoftWarWare
241260,Frogwares
24870,Slightly Mad Studios
574620
513510,KHB-Soft
351710,Idea Factory,Compile Heart,Felistella
72200,Giant Army
357780,Alda Games
382490,Rogue Snail
607880,ARTDINK CORPORATION
8140,Crystal Dynamics
251110,Loiste Interactive
444490,exagongames
528510,Wulo Games,DEADBIT
485950,Talentplace
347560,Back To Basics Gaming
506670,Ardi Studio
485830,D247 Games
465760,Egidijus Bachur,Alexey Davydov
19680
7510,Gaijin Entertainment
475220,André Bertaglia
222730,Abbey Games
249590,Rain Games
511800,Pragmatix Ltd
208520,Haemimont Games
552920,Orbcreation
278890,Alastair John Jack
344880,Conflux Games
546200,Creobit
447880
333300,Thomas Biskup,Jochen Terstiege,Zeno Rogue,Krzysztof Dycha,Lucas Dieguez
614910,Paleno Games
464850,Big Ant Studios
113420,Little Orbit
443940,Nikolai Patrakov
639780,Neko Climax Studios
424370,WOLCEN Studio
561340,DyingCat
681810
233290,Airtight Games
314660,"Just Add Water (Developments), Ltd."
619520,Vyacheslav Shilikhin
562010,Tanki Online Ltd.
623550,REX PEX GAMES
410380,Hex Entertainment
410900,EarthWork Games
40390,Piranha Bytes
483770,Z-Software
429790,"Artix Entertainment, LLC"
746910,Jakal Studios
467120,Magicbane
527230,IronOak Games
254200,ProjectorGames
418030,ColdGames
504050,Craneballs
217200,Team17 Digital Ltd
313340,David OReilly
63950,1C: Maddox Games
496680,DUCK
546660,SGTTB_Studios,Phanom Games
338530,Charyb Games
563120,Rotatipyra
40300
414290,EfimovMax
640100
71340,Devil's Details
635200,Cheerdealers
40800,Team Meat
445310,Limbic Entertainment
463220,Robert Alvarez
293180,Microblast Games
382110,Guy Godin
595340
331790,New Reality Games
454910,X-Legend
410340,LuGus Studios
606800,Hovgaard Games
7520,Reality Pump Studios
285160,Traveller's Tales,Feral Interactive (Mac)
262150,Tomoaki Sugeno
265550,Capcom Game Studio Vancouver
581030,Atomic Fabrik,Cristian Manolachi
438030,Chuck Productions
47780,Visceral Games
428630,GDNomad
465240,Croteam VR
464340,Microids
440650,Stray Fawn Studio
616560,Brilliant Game Studios
242700,NetherRealm Studios,High Voltage Software
469730,SnowFlame,Back To Basics Gaming
223850,UL
302510,Crytek
604500,Extreme Developers
356500,Ensemble Studios
223710,Team Psykskallar
212480,Sumo Digital
434570,Big Corporation
507390,Florastamine
585900,"TABOT, inc.",Natsume Inc.
218680,5th Cell Media
377530,Heluo Studio
35700,Frozenbyte
575840,Duck
3990,Firaxis Games
266510,Defiant Development
209870,"Hardsuit Labs, Inc."
214170,Larian Studios
400740,GDNomad
393530,PlayFlock
452060,Deadpan Games
312990,Free Lives
471010,IMGN.PRO,Fool's Theory
265300,CI Games,Deck 13
640590,Traveller's Tales,TT Games
17470,EA Redwood Shores
448280,Owlchemy Labs
384180,Pipeworks Studio
290730,Gravvit Ltd,Forbes  Consult Ltd
261030,Telltale Games
216250
259080,Avalanche Studios
607200,AlternativaPlatform
554530
407530,Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC
419480,Little Green Men Games
598330,LVGameDev LLC
564530,Impressions Games
571260,SNK CORPORATION,Abstraction Games
235400,Nival
289520,1C-SoftClub
495780,Studio Binokle
3920,Firaxis Games
237110,NetherRealm Studios,High Voltage Software
525300,IR Studio
